CLAVE,Year,agriculture,business_support,construction,entertainment,finance,hospitality,management,manufacturing,media,mining,other_services,professional_services,real_estate,retail,transport,wholesale,UE,micro_firms,small_firms,medium_firms,big_firms
31101,2015,0,0.01794616151545364,0.0024925224327018943,0.02243270189431705,0.013459621136590228,0.16051844466600199,0,0.14307078763708872,0.0019940179461615153,4.985044865403788e-4,0.16799601196410768,0.013459621136590228,0.019441674975074777,0.3629112662013958,0.016450648055832504,0.05732801595214357,2006,86.74,10.02,2.19,1.05
31101,2019,8.438818565400844e-4,0.012236286919831224,0.004219409282700422,0.017721518987341773,0.02278481012658228,0.17679324894514767,0,0.13375527426160339,0.002953586497890295,8.438818565400844e-4,0.1780590717299578,0.009704641350210971,0.026582278481012658,0.350210970464135,0.015189873417721518,0.04810126582278481,2370,84.81,12.19,1.98,0.51
31102,2015,0,0.019955156950672646,0.0026905829596412557,0.01233183856502242,0.011434977578475336,0.10739910313901345,0,0.25515695067264577,0.004260089686098654,8.968609865470852e-4,0.14887892376681613,0.019282511210762333,0.012780269058295964,0.37690582959641256,0.002914798206278027,0.025112107623318385,4460,90.94,8.23,0.61,0.22
31102,2019,0,0.014007192882831724,0.0034071550255536627,0.014385765663448798,0.011357183418512209,0.12625402233579405,0,0.30550823395797844,0.0028392958546280523,5.678591709256105e-4,0.13742191936399772,0.01665720234715124,0.010600037857278062,0.3321976149914821,0.002082150293393905,0.022714366837024418,5283,91.22,7.95,0.61,0.15
31103,2015,0,0.0136986301369863,0,0,0.0136986301369863,0.08904109589041095,0,0.2534246575342466,0.00684931506849315,0,0.11643835616438356,0,0,0.5,0,0.00684931506849315,146,97.26,2.74,0,0
31103,2019,0,0.013605442176870748,0,0,0,0.08843537414965986,0,0.3129251700680272,0.006802721088435374,0,0.10884353741496598,0,0.006802721088435374,0.4421768707482993,0,0.02040816326530612,147,97.96,2.04,0,0
31104,2015,0,0.004273504273504274,0,0.004273504273504274,0.01282051282051282,0.10683760683760683,0,0.3974358974358974,0.004273504273504274,0,0.10256410256410256,0.01282051282051282,0,0.33760683760683763,0,0.017094017094017096,234,99.15,0.85,0,0
31104,2019,0,0.0031746031746031746,0,0.0031746031746031746,0.009523809523809525,0.10793650793650794,0,0.4603174603174603,0.0031746031746031746,0,0.10476190476190476,0.009523809523809525,0,0.2984126984126984,0,0,315,97.14,2.86,0,0
31105,2015,0,0.017094017094017096,0,0.017094017094017096,0,0.1282051282051282,0,0.18803418803418803,0,0,0.15384615384615385,0.008547008547008548,0.008547008547008548,0.452991452991453,0,0.02564102564102564,117,94.87,4.27,0.85,0
31105,2019,0.011834319526627219,0.011834319526627219,0,0.01775147928994083,0,0.17751479289940827,0,0.1834319526627219,0.005917159763313609,0,0.14201183431952663,0.01775147928994083,0.023668639053254437,0.38461538461538464,0,0.023668639053254437,169,91.72,7.1,0.59,0
31106,2015,0.07017543859649122,0.008771929824561403,0,0.008771929824561403,0,0.11403508771929824,0,0.12280701754385964,0.017543859649122806,0,0.14912280701754385,0,0.008771929824561403,0.5,0,0,114,89.47,10.53,0,0
31106,2019,0.23157894736842105,0.010526315789473684,0,0.010526315789473684,0,0.05263157894736842,0,0.14736842105263157,0.010526315789473684,0,0.16842105263157894,0,0.021052631578947368,0.3473684210526316,0,0,95,86.32,8.42,5.26,0
32001,2015,0.04516129032258064,0.025806451612903226,0,0.03225806451612903,0.0064516129032258064,0.21935483870967742,0,0.10967741935483871,0.0064516129032258064,0,0.14838709677419354,0,0,0.36774193548387096,0.0064516129032258064,0.03225806451612903,155,94.84,4.52,0,0.65
32001,2019,0.04216867469879518,0.018072289156626505,0,0.018072289156626505,0.012048192771084338,0.21084337349397592,0,0.10843373493975904,0.006024096385542169,0,0.12650602409638553,0.006024096385542169,0.006024096385542169,0.4036144578313253,0.006024096385542169,0.03614457831325301,166,95.78,3.61,0,0.6
32002,2015,0.011764705882352941,0.023529411764705882,0,0.03529411764705882,0.011764705882352941,0.16470588235294117,0,0.16470588235294117,0,0,0.11764705882352941,0,0.011764705882352941,0.43529411764705883,0.011764705882352941,0.011764705882352941,85,98.82,1.18,0,0
32002,2019,0.0136986301369863,0.0273972602739726,0,0.0547945205479452,0.0136986301369863,0.1780821917808219,0,0.1095890410958904,0,0,0.1506849315068493,0,0,0.410958904109589,0.0273972602739726,0.0136986301369863,73,95.89,4.11,0,0
32003,2015,0,0.031578947368421054,0,0.05263157894736842,0,0.12631578947368421,0,0.09473684210526316,0,0,0.16842105263157894,0,0,0.4842105263157895,0,0.042105263157894736,95,100,0,0,0
32003,2019,0,0,0,0.029411764705882353,0,0.16666666666666666,0,0.13725490196078433,0.00980392156862745,0,0.17647058823529413,0,0,0.43137254901960786,0,0.049019607843137254,102,100,0,0,0
32004,2015,0,0.02564102564102564,0,0.03418803418803419,0.008547008547008548,0.1111111111111111,0,0.1282051282051282,0.004273504273504274,0,0.14957264957264957,0.017094017094017096,0.004273504273504274,0.49145299145299143,0,0.02564102564102564,234,98.72,1.28,0,0
32004,2019,0,0.0048543689320388345,0,0.03398058252427184,0,0.11165048543689321,0,0.12135922330097088,0.0048543689320388345,0,0.11165048543689321,0.0048543689320388345,0,0.5679611650485437,0.0048543689320388345,0.03398058252427184,206,97.57,2.43,0,0
32005,2015,0.0014619883040935672,0.023391812865497075,0.003898635477582846,0.015594541910331383,0.005360623781676413,0.10721247563352826,0,0.09649122807017543,0.0029239766081871343,4.873294346978557e-4,0.16861598440545808,0.01705653021442495,0.020955165692007796,0.4878167641325536,0.006335282651072124,0.04239766081871345,2052,94.2,4.53,0.63,0.63
32005,2019,0,0.01441899915182358,0.004240882103477523,0.015267175572519083,0.012298558100084818,0.13910093299406276,0,0.09711620016963528,0.002544529262086514,0,0.16793893129770993,0.019083969465648856,0.024173027989821884,0.4584393553859203,0.003816793893129771,0.041560644614079725,2358,93.85,5.34,0.25,0.34
32006,2015,0,0.027131782945736434,0,0.027131782945736434,0,0.13178294573643412,0,0.07751937984496124,0.011627906976744186,0,0.10077519379844961,0.007751937984496124,0.007751937984496124,0.5542635658914729,0.027131782945736434,0.027131782945736434,258,94.57,5.43,0,0
32006,2019,0,0.013245033112582781,0,0.03642384105960265,0.0033112582781456954,0.15562913907284767,0,0.10264900662251655,0.006622516556291391,0,0.11920529801324503,0,0.009933774834437087,0.5165562913907285,0.006622516556291391,0.029801324503311258,302,92.05,7.62,0.33,0
32007,2015,0,0.006696428571428571,0,0.017857142857142856,0.013392857142857142,0.16517857142857142,0,0.0625,0.006696428571428571,0.004464285714285714,0.13392857142857142,0.017857142857142856,0.004464285714285714,0.5491071428571429,0.006696428571428571,0.011160714285714286,448,93.75,5.58,0.22,0.45
32007,2019,0,0.006211180124223602,0,0.016563146997929608,0.008281573498964804,0.16563146997929606,0,0.045548654244306416,0.004140786749482402,0.004140786749482402,0.12422360248447205,0.016563146997929608,0.012422360248447204,0.5693581780538303,0.008281573498964804,0.018633540372670808,483,92.55,7.04,0.21,0
32008,2015,0,0.010723860589812333,0,0.04289544235924933,0.002680965147453083,0.1742627345844504,0,0.09919571045576407,0.002680965147453083,0,0.128686327077748,0.010723860589812333,0.00804289544235925,0.4879356568364611,0,0.032171581769437,373,93.83,5.63,0.54,0
