CLAVE,agriculture,business_support,construction,entertainment,finance,hospitality,management,manufacturing,media,mining,other_services,professional_services,real_estate,retail,transport,wholesale,micro_firms,small_firms,medium_firms,big_firms
15073,3.852080123266564e-4,0.022465226460383847,0.0011955860926805236,0.013471143465090197,0.0031615882100143604,0.08542053184910328,0,0.19091511797322935,0.006137778686204836,0.0032814743771160237,0.11703968952758298,0.008369102648763666,0.014932051402995713,0.5135510675764914,0.0027364181419871495,0.016938015576030106,97.41499999999999,2.14,0.12,0.245
15074,0.002662741299104936,0.033630510903238174,0.0015502174593083683,0.011421659148931876,0.0050441982260164085,0.0607561630288903,0,0.0957893116984026,0.0015502174593083683,3.4939807667080393e-4,0.10772813045540318,0.008731167822076913,0.0043454020726748,0.6303242212333122,0.0018996155359791724,0.03421704558068195,97.245,2.62,0.135,0
15075,4.921259842519685e-4,0.016614839329411518,0,0.012232595480328984,0.007498895674550031,0.11660756480462203,0,0.1738804243414364,0.001921613927822691,0,0.1517351932744827,0.019098695143071498,0.011107673484269498,0.4675323935465324,0.00227306988451911,0.01900491512470113,94.24000000000001,5.380000000000001,0.28500000000000003,0.095
15076,6.598046978094485e-5,0.01777203889608389,0.0014358467544682227,0.010353031781186146,0.00431905136618994,0.07748686450265144,0,0.10110280419474496,9.273758893622182e-4,0,0.11246378958479025,0.010484992720748036,0.00881667124858116,0.6129781398976986,0.0030308891319961715,0.03876252356171812,95.595,3.92,0.345,0.125
15077,0,0.00684931506849315,0,0.028354691412579174,0.005376344086021506,0.11393430549418176,0,0.0909559581676241,0.012225659154514656,0,0.16674031521579025,0,0.021505376344086023,0.5066283694211224,0,0.04742966563558698,97.405,2.055,0.54,0
15078,0.008626459433330853,0.017252918866661707,0,0.0261024763887856,0.008849557522123894,0.1636796311444932,0,0.0948910537666394,0.012605042016806723,0,0.08228601174983267,0.021677697627723654,0.004201680672268907,0.5469993307057337,0,0.012828140105599762,99.14,0.86,0,0
15079,0,0.017650588697829372,0,0.004143646408839779,0.004143646408839779,0.12751153599437168,0,0.1258251081176154,0.006016305584869742,0.005126533821673185,0.19219070085045625,0.006016305584869742,0.025539553458729075,0.4328843089784179,0,0.05295176609348811,94.39,4.3100000000000005,0.79,0.375
15080,0,0.027654119798084183,0,0.01230176080130371,0.00815811439246393,0.1668587781708335,0,0.07644381732183314,0.0027624309392265192,0,0.1317222465121825,0.009956675543543066,0.007740768710998052,0.5117552366946222,0.01230176080130371,0.03234429031360547,97.135,2.545,0.32,0
15081,2.866512638026137e-4,0.023253036987427738,0.0022856148300099497,0.012759389632327561,0.006663822038610313,0.11911115459112648,3.506311360448808e-5,0.08557228629496487,0.0018344917826740627,3.506311360448808e-5,0.1587896823629032,0.015400699118656365,0.012536718240767214,0.5404363576810736,0.0025541931196639517,0.018445775828783147,95.315,4.075,0.36,0.21
15082,5.186721991701245e-4,0.029318553318930535,0.001518009213218568,0.01479630328178046,0.007623766903284066,0.14316981584993654,0,0.09500674416743825,0.005106420676017055,5.523930363613502e-4,0.15526730907719213,0.014669993027216716,0.009487557582616052,0.4943246116388327,0.005211869734691311,0.02342798029331413,94.72,4.795,0.41000000000000003,0.075
15083,0,0.02639576378496604,0,0.01522197920263996,0.012359464333678677,0.13827558420628527,0,0.07894171367177008,0.0014005602240896359,0,0.15529718736809794,0.008311269713364797,0.004140286251486896,0.5194390084801044,0.002770423237788266,0.037446759525728096,97.505,2.3550000000000004,0.14,0
